# fs=400.0
t,ax,ay,az
2.028331,805,-653,-634
2.028417,840,-677,-695
2.028501,876,-690,-734
2.028587,920,-687,-786
2.028673,942,-685,-837
2.028776,979,-674,-872
2.028862,986,-688,-911
2.028953,1028,-680,-969
2.029050,1018,-669,-1002
2.029146,1024,-661,-1036
2.029241,1024,-666,-1044
2.029336,1029,-669,-1083
2.029430,1035,-691,-1114
2.029524,1048,-701,-1102
2.029619,1034,-715,-1105
2.029720,1022,-720,-1087
2.045267,1016,-712,-1050
2.045389,1086,-765,-1037
2.045496,1060,-773,-1040
2.045641,1016,-763,-1033
2.045758,979,-772,-1028
2.080012,951,-781,-1010
2.080117,942,-779,-991
2.080208,909,-755,-947
2.080297,904,-741,-904
2.080385,929,-731,-840
2.080473,937,-714,-774
2.080560,963,-702,-698
2.080647,979,-678,-661
2.080746,1000,-646,-581
2.119687,1001,-600,-530
2.119810,1035,-530,-430
2.119904,1046,-486,-371
2.119995,1080,-432,-266
2.120087,1098,-402,-190
2.120174,1128,-344,-54
2.150203,1204,-228,212
2.150317,1213,-177,328
2.150418,1258,-104,487
2.150512,1277,-73,641
2.150604,1305,-6,811
2.150692,1325,45,937
2.150796,1330,98,1110
2.150895,1322,114,1238
2.150994,1303,131,1400
2.151098,1285,173,1529
2.168403,1230,189,1740
2.168529,1189,186,1856
2.168637,1139,187,2108
2.168754,1099,175,2274
2.168859,1057,132,2502
2.168964,1029,102,2659
2.169059,947,48,2884
2.169165,624,-202,4508
2.169274,612,-183,4550
2.169378,599,-163,4584
2.169484,591,-143,4662
2.169589,582,-120,4704
2.191536,594,-89,4789
2.191642,578,-76,4860
2.191743,579,-45,4956
2.191831,567,-49,5015
2.191918,523,-60,5128
2.192008,513,-47,5194
2.192102,419,-80,5288
2.192194,365,-97,5370
2.192292,326,-137,5478
2.192390,239,-167,5512
2.192488,100,-242,5598
2.233818,32,-255,5672
2.233931,-69,-334,5796
2.234032,-146,-394,5884
2.234130,-257,-476,5962
2.234230,-334,-534,5999
2.234326,-432,-635,6059
2.234422,-472,-685,6062
2.234518,-535,-759,6062
2.234616,-561,-800,6046
2.234720,-618,-866,6002
2.234817,-638,-895,5992
2.234917,-651,-923,5898
2.235015,-633,-940,5860
2.235111,-591,-971,5734
2.235207,-550,-950,5642
2.235304,-516,-928,5459
2.235401,-469,-913,5348
2.274519,-423,-879,5113
2.274652,-394,-863,4972
2.274856,-373,-813,4786
2.274987,-312,-789,4646
2.275101,-274,-766,4457
2.275215,-244,-744,4350
2.275329,-210,-701,4179
2.275443,-199,-693,4092
2.275554,-174,-680,3942
2.275668,-170,-690,3836
2.275792,-155,-714,3693
2.275906,-125,-724,3581
2.276019,-141,-730,3420
2.276132,-144,-726,3352
2.276244,-165,-704,3209
2.276357,-177,-715,3138
2.276469,-176,-711,3008
2.310619,-181,-709,2942
2.310784,-169,-733,2805
2.310903,-150,-752,2723
2.311016,-113,-746,2610
2.311125,-90,-747,2501
2.311230,-79,-723,2387
2.311337,-76,-711,2302
2.311444,-27,-722,2167
2.311545,19,-702,2063
2.311647,63,-693,1933
2.311760,168,-729,1838
2.311867,137,-596,1628
2.311975,195,-617,1516
2.312089,240,-575,1341
2.326027,290,-564,1207
2.326146,349,-567,1013
2.326243,381,-567,912
2.326336,451,-551,748
2.326430,482,-536,643
2.337019,591,-540,359
2.337163,644,-543,211
2.337292,682,-528,133
2.337413,730,-541,-8
2.376334,777,-548,-75
2.376450,812,-570,-201
2.376545,841,-575,-273
2.376640,884,-558,-388
2.376772,906,-548,-444
2.376863,958,-565,-522
2.376957,1011,-582,-604
2.377051,1061,-602,-675
2.377142,1087,-610,-711
2.377234,1133,-628,-791
2.377326,1159,-618,-829
2.377418,1210,-634,-903
2.377509,1236,-613,-953
2.377602,1283,-638,-981
2.377697,1322,-627,-1045
2.377810,1369,-617,-1085
2.417887,1395,-612,-1140
2.418016,1428,-616,-1135
2.418126,1452,-603,-1179
2.418236,1483,-609,-1187
2.418345,1512,-587,-1161
2.418515,1523,-592,-1182
2.418632,1509,-582,-1189
2.418766,1584,-574,-1133
2.418875,1607,-568,-1171
2.418983,1568,-513,-1146
2.419091,1555,-522,-1111
2.419201,1527,-518,-1060
2.419306,1515,-507,-997
2.419410,1487,-500,-907
2.419515,1488,-495,-794
2.419618,1464,-510,-673
2.419744,1472,-502,-582
2.462240,1465,-494,-460
2.462371,1442,-484,-362
2.462486,1417,-441,-228
2.462599,1403,-439,-124
2.462711,1378,-377,15
2.462831,1372,-346,120
2.462939,1367,-310,293
2.463046,1370,-295,416
2.463151,1373,-259,593
2.463256,1375,-249,698
2.463362,1378,-223,883
2.463467,1368,-208,986
2.477190,1336,-165,1128
2.477325,1322,-144,1242
2.477440,1287,-124,1365
2.477551,1260,-118,1460
2.477661,1243,-112,1602
2.477801,1241,-92,1700
2.478001,1206,-88,1852
2.478111,1208,-70,1972
2.478215,1190,-69,2130
2.478318,1183,-75,2244
2.487809,1149,-69,2442
2.487943,1128,-74,2545
2.529730,1090,-76,2720
2.529855,1049,-107,2863
2.529947,979,-116,2999
2.530035,924,-138,3112
2.530121,821,-169,3270
2.530208,741,-196,3398
2.530294,653,-257,3549
2.530381,555,-290,3689
2.530466,430,-347,3866
2.530552,369,-394,3987
2.530640,319,-480,4163
2.530735,289,-531,4250
2.530822,255,-572,4369
2.530907,227,-593,4413
2.530993,207,-604,4467
2.531080,173,-606,4508
2.531166,137,-604,4528
2.531256,124,-587,4542
2.569118,126,-579,4542
2.569221,110,-596,4533
2.569310,127,-626,4540
2.569399,111,-617,4566
2.569485,115,-627,4580
2.569571,105,-619,4600
2.569654,82,-639,4640
2.569748,41,-656,4664
2.569835,-47,-676,4706
2.569928,-137,-699,4760
2.570021,-227,-763,4858
2.570112,-288,-807,4914
2.570205,-364,-894,5036
2.570295,-418,-950,5115
2.570392,-486,-1010,5206
2.570488,-505,-1030,5267
2.610181,-564,-1081,5316
2.610322,-601,-1115,5335
2.610443,-645,-1183,5325
2.610560,-664,-1206,5325
2.610677,-678,-1229,5254
2.610824,-677,-1264,5185
2.610932,-652,-1282,5081
2.611042,-634,-1278,4976
2.611150,-618,-1275,4833
2.611258,-588,-1274,4715
2.611366,-558,-1271,4509
2.611474,-504,-1255,4341
2.611582,-441,-1253,4145
2.611690,-407,-1234,4006
2.643364,-277,-1218,3597
2.643483,-202,-1208,3358
2.643587,-181,-1204,3209
2.643689,-124,-1163,2951
2.643803,-108,-1138,2796
2.643909,-63,-1100,2614
2.644015,-45,-1093,2482
2.644114,-6,-1095,2320
2.644213,13,-1079,2260
2.644312,39,-1075,2127
2.644411,71,-1081,2055
2.644514,108,-1071,1969
2.644618,144,-1064,1892
2.644739,194,-1062,1808
2.644849,225,-1041,1753
2.663225,251,-1016,1662
2.663335,290,-989,1559
2.663432,375,-960,1455
2.663525,406,-927,1383
2.663619,470,-921,1254
2.663717,514,-899,1183
2.663810,600,-862,1063
2.663902,656,-842,1007
2.663989,719,-843,891
2.686214,776,-822,813
2.686327,827,-805,684
2.686424,860,-795,614
2.686516,911,-799,496
2.686608,967,-827,445
2.686734,970,-784,292
2.686834,990,-797,230
2.686926,1026,-815,118
2.726197,1031,-819,46
2.726308,1062,-846,-27
2.726403,1068,-823,-91
2.726501,1077,-812,-175
2.726600,1092,-813,-216
2.726698,1121,-799,-256
2.726878,1155,-791,-276
2.727015,1213,-804,-336
2.727109,1233,-798,-349
2.727200,1272,-797,-388
2.727291,1278,-795,-390
2.727381,1290,-783,-388
2.727471,1292,-767,-385
2.727560,1282,-733,-350
2.727653,1274,-713,-352
2.768326,1308,-723,-290
2.768450,1321,-718,-269
2.768558,1310,-716,-207
2.768664,1322,-722,-200
2.768807,1341,-716,-152
2.768919,1343,-731,-120
